"year","number","type","reporting category","standard","item description","pts","school%","state%","school_state_diff","grade_level","discipline core idea","standard desc","item_library_URL","year_2024"
"2019","11","SR","ES","8.ESS.1.1","Interpret a model of the Sun-Earth system to explain the cause of the cyclical pattern of the seasons.",1,73,65,8,"8","Earth's Place in the Universe","Develop and use a model of the Earth-Sun system to explain the cyclical pattern of seasons, which includes Earth’s tilt and differential intensity of sunlight on different areas of Earth across the year.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC712448165","no"
"2019","12","SR","PS","8.PS.2.2","Analyze force models to determine whether the speeds of objects are changing.",1,34,46,-12,"8","Motion and Stability: Forces and Interactions","Provide evidence that the change in an object’s speed depends on the sum of the forces on the object (the net force) and the mass of the object.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC718679781","no"
"2019","13","SR","LS","7.LS.2.4","Describe how a change in the amount of Arctic ice in polar regions is most likely to affect a species that lives in these regions.",1,60,70,-10,"7","Ecosystems: Interactions, Energy, and Dynamics","Analyze data to provide evidence that disruptions (natural or human-made) to any physical or biological component of an ecosystem can lead to shifts in all its populations.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC274002","no"
"2019","14","SR","ES","7.ESS.2.4","Interpret a model to determine how energy from the Sun and Earth's gravity affect the cycling of water.",1,89,77,12,"7","Earth's Systems","Develop a model to explain how the energy of the Sun and Earth’s gravity drive the cycling of water, including changes of state, as it moves through multiple pathways in Earth’s hydrosphere.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC712547540","no"
"2019","15","SR","PS","7.PS.3.2","Determine which object has the largest potential energy based on the mass and relative position of the objects.",1,43,44,-1,"7","Energy","Develop a model to describe the relationship between the relative positions of objects interacting at a distance and their relative potential energy in the system.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC719150035","no"
"2019","16","CR","LS","8.LS.4.5","Describe one advantage and one disadvantage of selecting traits artificially in a species.",2,49,38,11,"8","Biological Evolution: Unity and Diversity","Synthesize and communicate information about artificial selection, or the ways in which humans have changed the inheritance of desired traits in organisms.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC725332664","no"
"2019","17","SR","LS","7.LS.2.2","Identify a factor that can limit competition between different species living in the same area.",1,89,84,5,"7","Ecosystems: Interactions, Energy, and Dynamics","Describe how relationships among and between organisms in an ecosystem can be competitive, predatory, parasitic, and mutually beneficial and that these interactions are found across multiple ecosystems","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC310241","no"
"2019","18","SR","LS","6.LS.1.2","Use a model to determine the part of a plant cell that produces sugars.",1,71,52,19,"6","From Molecules to Organisms: Structures and Processes","Develop and use a model to describe how parts of cells contribute to the cellular functions of obtaining food, water, and other nutrients from its environment, disposing of wastes, and providing energy for cellular processes.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC630734713","no"
"2019","19","SR","PS","7.PS.3.6","Identify an example of heat being transferred by conduction.",1,53,54,-1,"7","Energy","Use a model to explain how thermal energy is transferred out of hotter regions or objects and into colder ones by convection, conduction, and radiation.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC265247","no"
"2019","20","SR","ES","8.ESS.2.5","Determine why air on Earth circulates between the equator and the poles.",1,47,50,-3,"8","Earth's Systems","Interpret basic weather data to identify patterns in air mass interactions and the relationship of those patterns to local weather.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC273936","no"
"2019","21","SR","ES","6.ESS.1.5","Determine the size of the Sun relative to the planets in our solar system.",1,83,84,-1,"6","Earth's Place in the Universe","Use graphical displays to illustrate that Earth and its solar system are one of many in the Milky Way galaxy, which is one of billions of galaxies in the universe.",NA,"no"
"2019","22","SR","TE","6.ETS.2.3","Select the appropriate safety equipment and tools needed to construct a prototype.",1,86,68,18,"6","Materials, Tools, and Manufacturing","Choose and safely use appropriate measuring tools, hand tools, fasteners, and common hand-held power tools used to construct a prototype.",NA,"no"
"2019","23","SR","PS","7.PS.2.3","Compare the strengths of the electric forces between pairs of charges.",1,78,75,3,"7","Motion and Stability: Forces and Interactions","Analyze data to describe the effect of distance and magnitude of electric charge on the strength of electric forces.",NA,"no"
"2019","24","SR","LS","6.LS.1.3","Determine the body system that directly controls when muscles contract.",1,57,54,3,"6","From Molecules to Organisms: Structures and Processes","Construct an argument supported by evidence that the body systems interact to carry out essential functions of life.",NA,"no"
"2019","25","SR","TE","7.ETS.3.3","Determine whether parts of a vehicle are structural, propulsion, or control subsystems.",1,79,66,13,"7","Technological Systems","Research and communicate information about how transportation systems are designed to move people and goods using a variety of vehicles and devices. Identify and describe subsystems of a transportation vehicle, including structural, propulsion, guidance, suspension, and control subsystems",NA,"no"
"2019","26","SR","PS","6.PS.1.8","Determine the next step in a procedure for separating a mixture, and identify evidence that shows a substance is a mixture.",2,72,62,10,"6","Matter and Its Interactions","Conduct an experiment to show that many materials are mixtures of pure substances that can be separated by physical means into their component pure substances.",NA,"no"
"2019","27","CR","ES","8.ESS.1.2","Complete a model to show the force that keeps a planet in orbit around a star, and identify that force.",2,83,69,14,"8","Earth's Place in the Universe","Explain the role of gravity in ocean tides, the orbital motions of planets, their moons, and asteroids in the solar system.",NA,"no"
"2019","28","SR","TE","7.ETS.3.5","Classify part of a transportation system according to the universal systems model.",1,57,49,8,"7","Technological Systems","Use the concept of systems engineering to model inputs, processes, outputs, and feedback among components of a transportation, structural, or communication system.",NA,"no"
"2019","29","SR","ES","6.ESS.1.4","Analyze a diagram to determine the youngest rock layer that was present when a fault formed.",1,41,32,9,"6","Earth's Place in the Universe","Analyze and interpret rock layers and index fossils to determine the relative ages of rock formations that result from processes occurring over long periods of time.",NA,"no"
"2019","30","SR","ES","8.ESS.3.5","Analyze a graph to determine a result of changes in atmospheric carbon dioxide levels over time.",1,49,54,-5,"8","Earth and Human Activity","Examine and interpret data to describe the role that human activities have played in causing the rise in global temperatures over the past century.",NA,"no"
"2019","31","SR","LS","8.LS.1.5","Determine that genetic differences in individuals of the same species result in different traits.",1,72,72,0,"8","From Molecules to Organisms: Structures and Processes","Construct an argument based on evidence for how environmental and genetic factors influence the growth of organisms.",NA,"no"
"2019","32","SR","LS","7.LS.2.2","Determine the relationship between a plant and an insect and describe that relationship.",1,94,84,10,"7","Ecosystems: Interactions, Energy, and Dynamics","Describe how relationships among and between organisms in an ecosystem can be competitive, predatory, parasitic, and mutually beneficial and that these interactions are found across multiple ecosystems",NA,"no"
"2019","33","SR","LS","7.LS.1.4","Describe how attracting insects can increase the probability of a plant reproducing.",1,80,69,11,"7","From Molecules to Organisms: Structures and Processes","Construct an explanation based on evidence for how characteristic animal behaviors and specialized plant structures increase the probability of successful reproduction of animals and plants",NA,"no"
"2019","34","SR","LS","8.LS.3.2","Select an advantage of a plant reproducing sexually and an advantage of a plant reproducing asexually.",1,79,67,12,"8","Heredity: Inheritance and Variation of Traits","Construct an argument based on evidence for how asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation. Compare and contrast advantages and disadvantages of asexual and sexual reproduction.",NA,"no"
"2019","35","CR","LS","6.LS.4.1","Analyze fossil record data to describe fossils found in different time periods, and describe evidence that could show a relationship between certain plants and insects.",3,33,27,6,"6","Biological Evolution: Unity and Diversity","Analyze and interpret evidence from the fossil record to describe organisms and their environment, extinctions, and changes to life forms throughout the history of Earth.",NA,"no"
"2019","36","SR","ES","7.ESS.2.2","Determine that an area in New England was once covered by glaciers based on a description of the area.",1,41,43,-2,"7","Earth's Systems","Construct an explanation based on evidence for how Earth’s surface has changed over scales that range from local to global in size.",NA,"no"
"2019","37","CR","PS","6.PS.1.6","Analyze the results of an investigation to determine whether a reaction was endothermic or exothermic, and show how the results should be organized in a lab notebook.",3,43,43,0,"6","Matter and Its Interactions","Plan and conduct an experiment involving exothermic and endothermic chemical reactions to measure and describe the release or absorption of thermal energy.",NA,"no"
"2019","38","SR","ES","6.ESS.1.1","Determine the cause of the Moon's phases, and identify what occurs during one cycle of the Moon's phases.",2,73,59,14,"6","Earth's Place in the Universe","Develop and use a model of the Earth-Sun-Moon system to explain the causes of lunar phases and eclipses of the Sun and Moon.",NA,"no"
"2019","39","SR","TE","6.ETS.2.1","Identify an important property of a material for a given design task.",1,58,59,-1,"6","Materials, Tools, and Manufacturing","Analyze and compare properties of metals, plastics, wood, and ceramics, including flexibility, ductility, hardness, thermal conductivity, electrical conductivity, and melting point",NA,"no"
"2019","40","SR","TE","6.ETS.1.5","Use an appropriate ruler to determine the scale of a drawing.",1,63,65,-2,"6","Engineering Design","Create visual representations of solutions to a design problem. Accurately interpret and apply scale and proportion to visual representations.",NA,"no"
"2019","41","SR","TE","7.ETS.3.1","Determine why part of a communication system is considered a decoder.",1,47,46,1,"7","Technological Systems","Explain the function of a communication system and the role of its components, including a source, encoder, transmitter, receiver, decoder, and storage.",NA,"no"
"2021","1","SR","TE","6.ETS.2.2","Determine properties of a material that should be tested to meet a design criterion for constructing a solution.",1,73,75,-2,"6","Materials, Tools, and Manufacturing","Given a design task, select appropriate materials based on specific properties needed in the construction of a solution.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC282034","no"
"2021","2","SR","PS","7.PS.3.7","Analyze a diagram to determine when an object has the greatest amount of kinetic energy.",1,33,37,-4,"7","Energy","Use informational text to describe the relationship between kinetic and potential energy and illustrate conversions from one form to another.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC291918","no"
"2021","3","SR","LS","8.LS.3.3","Identify a cellular structure that stores instructions for a trait.",1,73,71,2,"8","Heredity: Inheritance and Variation of Traits","Communicate through writing and in diagrams that chromosomes contain many distinct genes and that each gene holds the instructions for the production of specific proteins, which in turn affects the traits of an individual.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC229371","no"
"2021","4","SR","ES","6.ESS.1.1","Analyze a model of the Earth-Sun-Moon system to determine that a solar eclipse could be observed from Earth.",1,73,59,14,"6","Earth's Place in the Universe","Develop and use a model of the Earth-Sun-Moon system to explain the causes of lunar phases and eclipses of the Sun and Moon.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC291724","no"
"2021","5","SR","TE","6.ETS.1.5","Determine the scale used to make a drawing of an actual object.",1,70,62,8,"6","Engineering Design","Create visual representations of solutions to a design problem. Accurately interpret and apply scale and proportion to visual representations.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC814970319","no"
"2021","6","SR","PS","6.PS.4.2","Complete a model to show how light interacts with different materials.",1,75,76,-1,"6","Waves and Their Applications in Technologies for Information Transfer","Use diagrams and other models to show that both light rays and mechanical waves are reflected, absorbed, or transmitted through various materials.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC719152661","no"
"2021","7","SR","LS","8.LS.3.1","Describe how a scientist could determine whether a mutation causes changes to a trait in a bacterial cell.",1,51,46,5,"8","Heredity: Inheritance and Variation of Traits","Develop and use a model to describe that structural changes to genes (mutations) may or may not result in changes to proteins, and if there are changes to proteins there may be harmful, beneficial, or neutral changes to traits.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC633360994","no"
"2021","8","SR","LS","8.LS.1.5","Distinguish between environmental and hereditary factors influencing the size of an organism.",1,58,54,4,"8","From Molecules to Organisms: Structures and Processes","Construct an argument based on evidence for how environmental and genetic factors influence the growth of organisms.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC803556783","no"
"2021","9","SR","ES","8.ESS.2.1","Interpret a plate tectonic model to determine that crust will melt as it is subducted.",1,22,29,-7,"8","Earth's Systems","Use a model to illustrate that energy from Earth’s interior drives convection that cycles Earth’s crust, leading to melting, crystallization, weathering, and deformation of large rock formations, including generation of ocean sea floor at ridges, submergence of ocean sea floor at trenches, mountain building, and active volcanic chains.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC723657309","no"
"2021","10","SR","ES","7.ESS.2.2","Interpret plate tectonic models to determine which model shows an ocean is getting larger and determine why the ocean is getting larger.",1,40,45,-5,"7","Earth's Systems","Construct an explanation based on evidence for how Earth’s surface has changed over scales that range from local to global in size.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC723657934","no"
"2021","11","SR","ES","8.ESS.2.1","Explain why the total amount of crust on Earth remains relatively the same.",1,80,77,3,"8","Earth's Systems","Use a model to illustrate that energy from Earth’s interior drives convection that cycles Earth’s crust, leading to melting, crystallization, weathering, and deformation of large rock formations, including generation of ocean sea floor at ridges, submergence of ocean sea floor at trenches, mountain building, and active volcanic chains.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC723656572","no"
"2021","12","CR","ES","6.ESS.2.3","Identify the type of energy responsible for convection currents and explain why volcanoes and earthquakes occur near plate boundaries.",3,28,26,2,"6","Earth's Systems","Analyze and interpret maps showing the distribution of fossils and rocks, continental shapes, and seafloor structures to provide evidence that Earth’s plates have moved great distances, collided, and spread apart.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC719258218","no"
"2021","13","CR","LS","6.LS.1.3","Identify body systems that are involved in getting nutrients from food to different parts of the body and describe how the systems work together.",3,35,27,8,"6","From Molecules to Organisms: Structures and Processes","Construct an argument supported by evidence that the body systems interact to carry out essential functions of life.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC292029","no"
"2021","14","CR","TE","7.ETS.1.2","Use a decision matrix to determine how well different types of objects meet the criteria for building a design solution and explain the reasoning for those determinations.",2,46,48,-2,"7","Engineering Design","Evaluate competing solutions to a given design problem using a decision matrix to determine how well each meets the criteria and constraints of the problem. Use a model of each solution to evaluate how variations in one or more design features, including size, shape, weight, or cost, may affect the function or effectiveness of the solution.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC804368074","no"
"2021","15","SR","LS","8.LS.3.4","Use a model of chromosomes in a body cell to determine the number of chromosomes an organism inherits from each parent.",1,58,45,13,"8","Heredity: Inheritance and Variation of Traits","Develop and use a model to show that sexually reproducing organisms have two of each chromosome in their cell nuclei, and hence two variants (alleles) of each gene that can be the same or different from each other, with one random assortment of each chromosome passed down to offspring from both parents.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC265278","no"
"2021","16","SR","PS","6.PS.1.7","Compare the densities of different samples of a gas by analyzing particulate models of the samples.",2,53,43,10,"6","Matter and Its Interactions","Use a particulate model of matter to explain that density is the amount of matter (mass) in a given volume. Apply proportional reasoning to describe, calculate, and compare relative densities of different materials.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC631748218","no"
"2021","17","SR","TE","7.ETS.3.1","Identify the component of a communication system that converts a message into a digital signal.",1,44,26,18,"7","Technological Systems","Explain the function of a communication system and the role of its components, including a source, encoder, transmitter, receiver, decoder, and storage.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC735480271","no"
"2021","18","SR","PS","8.PS.1.2","Determine in which situation a chemical reaction is occurring.",1,47,48,-1,"8","Matter and Its Interactions","Analyze and interpret data on the properties of substances before and after the substances interact to determine if a chemical reaction has occurred.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC291896","no"
"2021","19","SR","PS","8.PS.1.1","Determine that a pair of chemical models represents two compounds.",1,33,37,-4,"8","Matter and Its Interactions","Develop a model to describe that (a) atoms combine in a multitude of ways to produce pure substances which make up all of the living and nonliving things that we encounter, (b) atoms form molecules and compounds that range in size from two to thousands of atoms, and (c) mixtures are composed of different proportions of pure substances.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC313186","no"
"2021","20","SR","TE","7.ETS.3.5","Classify a part of a given communication system as feedback.",1,40,35,5,"7","Technological Systems","Use the concept of systems engineering to model inputs, processes, outputs, and feedback among components of a transportation, structural, or communication system.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC804375322","no"
"2021","21","SR","LS","7.LS.2.5","Determine which action will most likely help protect populations of a certain organism.",1,93,78,15,"7","Ecosystems: Interactions, Energy, and Dynamics","Evaluate competing design solutions for protecting an ecosystem. Discuss benefits and limitations of each design.*",NA,"no"
"2021","22","SR","LS","8.LS.4.4","Explain how new species can arise in different environmental conditions.",1,85,57,28,"8","Biological Evolution: Unity and Diversity","Use a model to describe the process of natural selection, in which genetic variations of some traits in a population increase some individuals’ likelihood of surviving and reproducing in a changing environment. Provide evidence that natural selection occurs over many generations.",NA,"no"
"2021","23","SR","PS","7.PS.3.6","Complete a model to show how heat flows from warmer areas to colder areas.",1,28,30,-2,"7","Energy","Use a model to explain how thermal energy is transferred out of hotter regions or objects and into colder ones by convection, conduction, and radiation.",NA,"no"
"2021","24","SR","PS","8.PS.1.4","Analyze temperature data from an experiment to predict missing temperatures at a given time.",1,75,74,1,"8","Matter and Its Interactions","Develop a model that describes and predicts changes in particle motion, relative spatial arrangement, temperature, and state of a pure substance when thermal energy is added or removed.",NA,"no"
"2021","25","SR","PS","8.PS.1.5","Determine the mass of products after a chemical reaction has occurred.",1,63,76,-13,"8","Matter and Its Interactions","Use a model to explain that atoms are rearranged during a chemical reaction to form new substances with new properties. Explain that the atoms present in the reactants are all present in the products and thus the total number of atoms is conserved.",NA,"no"
"2021","26","CR","PS","7.PS.3.3","Evaluate the effectiveness of a device designed to minimize thermal energy transfer, and describe and explain how design changes will improve the device.",3,40,42,-2,"7","Energy","Apply scientific principles of energy and heat transfer to design, construct, and test a device to minimize or maximize thermal energy transfer.*",NA,"no"
"2021","27","CR","TE","7.ETS.3.4","Identify live loads, tension forces, and compression forces in a system and describe how those forces act on the system.",3,35,30,5,"7","Technological Systems","Show how the components of a structural system work together to serve a structural function. Provide examples of physical structures and relate their design to their intended use.",NA,"no"
"2021","28","SR","ES","8.ESS.2.5","Describe how the amount of moisture in air changes as air moves over an ocean and then over a mountain.",2,35,38,-3,"8","Earth's Systems","Interpret basic weather data to identify patterns in air mass interactions and the relationship of those patterns to local weather.",NA,"no"
"2021","29","SR","TE","7.ETS.3.3","Use a diagram of a vehicle to classify some of its parts into transportation subsystems.",1,75,66,9,"7","Technological Systems","Research and communicate information about how transportation systems are designed to move people and goods using a variety of vehicles and devices. Identify and describe subsystems of a transportation vehicle, including structural, propulsion, guidance, suspension, and control subsystems",NA,"no"
"2021","30","CR","ES","8.ESS.1.2","Analyze a diagram to compare how the strength of the gravitational force between two objects changes when the position or mass of one of the objects changes.",2,34,36,-2,"8","Earth's Place in the Universe","Explain the role of gravity in ocean tides, the orbital motions of planets, their moons, and asteroids in the solar system.",NA,"no"
"2021","31","SR","LS","8.LS.3.2","Describe an advantage and a disadvantage of asexual reproduction in bacteria.",2,58,58,0,"8","Heredity: Inheritance and Variation of Traits","Construct an argument based on evidence for how asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation. Compare and contrast advantages and disadvantages of asexual and sexual reproduction.",NA,"no"
"2021","32","SR","ES","8.ESS.1.1","Explain what causes seasonal differences in hours of daylight.",1,78,69,9,"8","Earth's Place in the Universe","Develop and use a model of the Earth-Sun system to explain the cyclical pattern of seasons, which includes Earth’s tilt and differential intensity of sunlight on different areas of Earth across the year.",NA,"no"
"2021","33","SR","LS","7.LS.1.4","Determine and explain the changes to flowering plant populations when the size of an insect population changes.",1,70,66,4,"7","From Molecules to Organisms: Structures and Processes","Construct an explanation based on evidence for how characteristic animal behaviors and specialized plant structures increase the probability of successful reproduction of animals and plants",NA,"no"
"2021","34","SR","ES","8.ESS.3.5","Use a graph to determine changes in carbon dioxide levels in the atmosphere and identify several activities that have contributed to these changes.",1,73,71,2,"8","Earth and Human Activity","Examine and interpret data to describe the role that human activities have played in causing the rise in global temperatures over the past century.",NA,"no"
"2021","35","SR","LS","7.LS.2.3","Interpret a food web to determine one way energy flows through an ecosystem.",1,80,84,-4,"7","Ecosystems: Interactions, Energy, and Dynamics","Develop a model to describe that matter and energy are transferred among living and nonliving parts of an ecosystem and that both matter and energy are conserved through these processes.",NA,"no"
"2021","36","SR","TE","8.ETS.2.5","Determine that the manufacturing process of conditioning occurs in a given scenario.",1,53,57,-4,"8","Materials, Tools, and Manufacturing","Present information that illustrates how a product can be created using basic processes in manufacturing systems, including forming, separating, conditioning, assembling, finishing, quality control, and safety. Compare the advantages and disadvantages of human vs. computer control of these processes.",NA,"no"
"2021","37","SR","LS","7.LS.2.2","Analyze information to determine that the type of ecological relationship between two organisms is mutually beneficial.",1,91,85,6,"7","Ecosystems: Interactions, Energy, and Dynamics","Describe how relationships among and between organisms in an ecosystem can be competitive, predatory, parasitic, and mutually beneficial and that these interactions are found across multiple ecosystems",NA,"no"
"2021","38","SR","TE","6.ETS.2.3","Use a ruler to determine the appropriate location to cut a wooden rod.",1,91,81,10,"6","Materials, Tools, and Manufacturing","Choose and safely use appropriate measuring tools, hand tools, fasteners, and common hand-held power tools used to construct a prototype.",NA,"no"
"2021","39","SR","PS","6.PS.4.1","Use a model to identify the characteristic of a wave that is related to the amount of energy carried in that wave.",1,58,53,5,"6","Waves and Their Applications in Technologies for Information Transfer","Use diagrams of a simple wave to explain that (a) a wave has a repeating pattern with a specific amplitude, frequency, and wavelength, and (b) the amplitude of a wave is related to the energy of the wave.",NA,"no"
"2021","40","SR","PS","7.PS.2.3","Complete a model to show how pairs of spheres behave, depending on each sphere's electric charge.",1,64,57,7,"7","Motion and Stability: Forces and Interactions","Analyze data to describe the effect of distance and magnitude of electric charge on the strength of electric forces.",NA,"no"
"2021","41","SR","LS","6.LS.4.1","Use fossil evidence to determine how the environment of a location changed over time.",1,87,82,5,"6","Biological Evolution: Unity and Diversity","Analyze and interpret evidence from the fossil record to describe organisms and their environment, extinctions, and changes to life forms throughout the history of Earth.",NA,"no"
"2022","1","SR","ES","6.ESS.1.5","Use a model to order a planet, a solar system, a galaxy, and the universe from smallest to largest.",1,83,71,12,"6","Earth's Place in the Universe","Use graphical displays to illustrate that Earth and its solar system are one of many in the Milky Way galaxy, which is one of billions of galaxies in the universe.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC905147343&YearCode=2022","no"
"2022","2","SR","ES","7.ESS.3.2","Interpret a map to determine where an earthquake is most likely to occur.",1,70,67,3,"7","Earth and Human Activity","Obtain and communicate information on how data from past geologic events are analyzed for patterns and used to forecast the location and likelihood of future catastrophic events.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC632265448&YearCode=2022","no"
